stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6793,0.0085
0.0,conformal_risk_filter,0.7131,0.0080
0.0,proposed_branch_mechanism,0.7698,0.0116
0.0,oracle_branch_upper_bound,0.8233,0.0095
0.2,scalar_uncertainty_planner,0.6248,0.0095
0.2,conformal_risk_filter,0.6669,0.0125
0.2,proposed_branch_mechanism,0.7364,0.0128
0.2,oracle_branch_upper_bound,0.8055,0.0109
0.4,scalar_uncertainty_planner,0.5724,0.0141
0.4,conformal_risk_filter,0.6217,0.0126
0.4,proposed_branch_mechanism,0.7095,0.0168
0.4,oracle_branch_upper_bound,0.7852,0.0119
0.6,scalar_uncertainty_planner,0.5105,0.0100
0.6,conformal_risk_filter,0.5776,0.0105
0.6,proposed_branch_mechanism,0.6779,0.0171
0.6,oracle_branch_upper_bound,0.7617,0.0109
0.8,scalar_uncertainty_planner,0.4552,0.0118
0.8,conformal_risk_filter,0.5374,0.0088
0.8,proposed_branch_mechanism,0.6429,0.0181
0.8,oracle_branch_upper_bound,0.7419,0.0119
1.0,scalar_uncertainty_planner,0.4060,0.0135
1.0,conformal_risk_filter,0.4917,0.0102
1.0,proposed_branch_mechanism,0.6181,0.0182
1.0,oracle_branch_upper_bound,0.7217,0.0157
